n,correlation,algorithm,config_name,mean_value,std_value,mean_gap,std_gap,mean_time_ms,std_time_ms,mean_evaluations,std_evaluations,mean_iterations,std_iterations,optimal_rate
50,uncorrelated,SA,SA_BASE,20930.03,1454.4374705248306,0.24404832751634914,0.16353230608968553,14.72433576002004,0.39990674573534296,5516.0,0.0,2757.0,0.0,0.27999999999999997
50,uncorrelated,SA,SA_COOL_FAST,20876.920000000002,1437.5972352041674,0.493277913284951,0.2954589841676833,3.594645649973245,0.08671773871588803,1370.0,0.0,684.0,0.0,0.22999999999999998
50,uncorrelated,SA,SA_COOL_SLOW,20954.079999999998,1449.9421565474026,0.12756405616296662,0.14508039650478166,52.72548329003257,0.6049411439866728,20002.0,0.0,10000.0,0.0,0.42000000000000004
50,uncorrelated,SA,SA_T0_HIGH,20931.629999999997,1455.8480690343729,0.23693517825827595,0.1429608916921788,15.982816139967326,0.4880260498203721,6158.0,0.0,3078.0,0.0,0.23000000000000004
50,uncorrelated,SA,SA_T0_LOW,20920.7,1461.5883255326496,0.29089827421855474,0.21646651489756238,12.376632410032471,0.510171066407762,4596.0,0.0,2297.0,0.0,0.24
50,weakly,GA,GA_BASE,13405.52,939.9863270873204,0.039752091369114895,0.039480031295161026,89.38184032002027,2.351730966109246,20200.0,0.0,100.0,0.0,0.51
50,weakly,GA,GA_CROSS_060,13399.310000000001,940.4701217417218,0.08650748924554678,0.06747745021301885,88.27002042005915,2.9079903358459496,20200.0,0.0,100.0,0.0,0.38
50,weakly,GA,GA_CROSS_095,13404.73,941.0071614439973,0.04616366888986021,0.036927819520942436,92.65365184006441,6.7614237328298525,20200.0,0.0,100.0,0.0,0.6
50,weakly,GA,GA_MUT_HIGH,13407.779999999999,940.7304322823954,0.023170243694874318,0.034273699003896554,93.97004024987837,2.427942500417115,20200.0,0.0,100.0,0.0,0.61
50,weakly,GA,GA_MUT_LOW,13399.320000000002,943.9970807393655,0.08815804054961313,0.08472305728447438,85.79962567997427,2.5244994987187916,20200.0,0.0,100.0,0.0,0.33999999999999997
50,weakly,GA,GA_POP_200,13407.420000000002,939.1864479431121,0.025118091731355752,0.027906639980181207,181.25838876012494,6.798249047594645,40400.0,0.0,100.0,0.0,0.61
50,weakly,GA,GA_POP_50,13393.55,947.5936403449648,0.1331010929729308,0.13315797040777527,45.06855051997263,2.3796421704223256,10100.0,0.0,100.0,0.0,0.31
50,weakly,GA,GA_TOUR_5,13396.48,945.9459308015445,0.11032112806893443,0.08240942811983691,93.9240512599099,2.1624816370053033,20200.0,0.0,100.0,0.0,0.27
50,weakly,SA,SA_BASE,13317.01,948.6408903150748,0.7068879866423765,0.3314643146819617,15.020381069953146,0.7055755444971143,5516.0,0.0,2757.0,0.0,0.11000000000000001
50,weakly,SA,SA_COOL_FAST,13166.560000000001,976.1962088751537,1.8465395617454312,0.5300215746219233,3.7028836598801718,0.19134811733213003,1370.0,0.0,684.0,0.0,0.0
50,weakly,SA,SA_COOL_SLOW,13374.49,945.3695778782902,0.27470136519984967,0.22835958685332725,56.12976021993745,3.539766057835183,20002.0,0.0,10000.0,0.0,0.2
50,weakly,SA,SA_T0_HIGH,13315.41,940.7514389512723,0.7150002865231789,0.3391667743826102,17.03985701993588,1.8580000875658906,6158.0,0.0,3078.0,0.0,0.13999999999999999
50,weakly,SA,SA_T0_LOW,13203.689999999999,959.6607102397064,1.561022038381914,0.4742119434422097,13.055542650054122,1.4131616377533616,4596.0,0.0,2297.0,0.0,0.02
100,strongly,GA,GA_BASE,31740.379999999997,1471.2219530414552,0.009423628249320302,0.012005530349085183,163.93983726009537,5.899032538758417,20200.0,0.0,100.0,0.0,0.35
100,strongly,GA,GA_CROSS_060,31739.170000000002,1468.753168166795,0.01294224245032089,0.00960733794352595,159.07692555991161,4.157282897419756,20200.0,0.0,100.0,0.0,0.18
100,strongly,GA,GA_CROSS_095,31742.27,1469.9183515117816,0.0032919104419521137,0.0022695841706373305,170.1589675199648,7.691536081461982,20200.0,0.0,100.0,0.0,0.45999999999999996
100,strongly,GA,GA_MUT_HIGH,31735.05,1471.370767723456,0.026257013143571005,0.01999455336724101,172.91317319011796,6.2880610686107,20200.0,0.0,100.0,0.0,0.16
100,strongly,GA,GA_MUT_LOW,31737.04,1471.678351180493,0.02001530840147889,0.015206446251488537,157.26942329003577,6.343919261579891,20200.0,0.0,100.0,0.0,0.26
100,strongly,GA,GA_POP_200,31742.640000000003,1469.886951208607,0.0021214711215798362,0.0016225111548599876,330.11647131001155,11.278112605775293,40400.0,0.0,100.0,0.0,0.5900000000000001
100,strongly,GA,GA_POP_50,31716.68,1474.017566456459,0.0845640927849589,0.06285760307635684,81.62215754000499,4.5420783671214044,10100.0,0.0,100.0,0.0,0.12
100,strongly,GA,GA_TOUR_5,31725.090000000004,1471.4826139721213,0.05764280694573849,0.07749902118718907,172.47479993000525,9.289419755763543,20200.0,0.0,100.0,0.0,0.25
100,strongly,SA,SA_BASE,31023.04,1576.522051295896,2.2864019801411772,0.5138137106912042,27.635455090094183,1.369917103297759,5516.0,0.0,2757.0,0.0,0.0
100,strongly,SA,SA_COOL_FAST,30533.49,1617.8777755305114,3.836333602836805,0.692231610748962,6.845105710053758,0.4016507988662919,1370.0,0.0,684.0,0.0,0.0
100,strongly,SA,SA_COOL_SLOW,31334.1,1533.066927581587,1.2995035419654593,0.3266914109145028,101.22905265990994,6.335274385520935,20002.0,0.0,10000.0,0.0,0.0
100,strongly,SA,SA_T0_HIGH,31011.159999999996,1587.559901372052,2.3251592428607815,0.5452340605543244,30.645629440059565,1.4603151511032073,6158.0,0.0,3078.0,0.0,0.0
100,strongly,SA,SA_T0_LOW,30356.48,1613.1098376875784,4.394213042483745,0.7198285141696502,23.303136570066272,0.7319554765730159,4596.0,0.0,2297.0,0.0,0.0
100,uncorrelated,GA,GA_BASE,40856.44,1837.4007669047671,0.028774573976618888,0.030860821556412836,159.15957682997032,3.136748193484222,20200.0,0.0,100.0,0.0,0.51
100,uncorrelated,GA,GA_CROSS_060,40848.259999999995,1843.9563402881538,0.04955163813197604,0.052442538532188165,155.71578609993594,3.475128934108708,20200.0,0.0,100.0,0.0,0.47000000000000003
100,uncorrelated,GA,GA_CROSS_095,40859.259999999995,1839.1590138490535,0.022038182935268345,0.03015064156245115,163.33804928990503,4.98117825475603,20200.0,0.0,100.0,0.0,0.5599999999999999
100,uncorrelated,GA,GA_MUT_HIGH,40863.909999999996,1833.3365669365437,0.010032144341661544,0.015389329659864141,164.5042302001093,3.4875825690825297,20200.0,0.0,100.0,0.0,0.61
100,uncorrelated,GA,GA_MUT_LOW,40846.61,1842.4328635137692,0.053423541545568054,0.05461074835847613,151.63936243996432,3.383115316221784,20200.0,0.0,100.0,0.0,0.42000000000000004
100,uncorrelated,GA,GA_POP_200,40863.58,1832.6976466400563,0.010768445222685438,0.01617300057697557,319.14756152989867,7.924140610298135,40400.0,0.0,100.0,0.0,0.6799999999999999
100,uncorrelated,GA,GA_POP_50,40839.68,1838.0796535756797,0.06997650799591791,0.05873492278696779,79.94028943992816,1.9768264356889411,10100.0,0.0,100.0,0.0,0.42000000000000004
100,uncorrelated,GA,GA_TOUR_5,40846.4,1839.5024979597054,0.0536535719164364,0.054112388780323505,162.6007803900393,2.501747199380998,20200.0,0.0,100.0,0.0,0.49000000000000005
100,uncorrelated,SA,SA_BASE,40741.2,1828.9583926984812,0.31044483139612744,0.1493913499085608,27.601427910067287,0.7810260093326766,5516.0,0.0,2757.0,0.0,0.26
100,uncorrelated,SA,SA_COOL_FAST,40604.740000000005,1776.371213832662,0.6393104959738807,0.4171548497603108,6.732803569848329,0.2048557274475914,1370.0,0.0,684.0,0.0,0.15
100,uncorrelated,SA,SA_COOL_SLOW,40828.18,1833.4701062920738,0.09771373415662792,0.09155320496634885,100.00548959000298,1.9129700172566415,20002.0,0.0,10000.0,0.0,0.41
100,uncorrelated,SA,SA_T0_HIGH,40731.53,1796.9198900402378,0.33066188179919215,0.3028538173835242,30.96831728986217,2.2638097713295653,6158.0,0.0,3078.0,0.0,0.30999999999999994
100,uncorrelated,SA,SA_T0_LOW,40722.63,1845.8390143178187,0.3575544226830486,0.2688903607529599,23.290609340019728,0.711228611553528,4596.0,0.0,2297.0,0.0,0.3
100,weakly,GA,GA_BASE,27419.659999999996,639.161706543118,0.06982998788338099,0.030952318400723322,160.77869687982457,7.445069194377073,20200.0,0.0,100.0,0.0,0.22999999999999998
