instance_id,n,correlation,algorithm,config_name,run,seed,best_value_found,best_weight_found,optimum_value,gap_percent,execution_time_ms,evaluations,iterations_executed
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,3,20260709,31583,25983,33050,4.438729198184569,6.26922899937199,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,4,20260710,32046,26046,33050,3.037821482602118,6.847017000836786,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,5,20260711,31835,26035,33050,3.67624810892587,6.794008000724716,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,6,20260712,32229,26029,33050,2.4841149773071103,6.432989999666461,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,7,20260713,31647,26047,33050,4.245083207261724,6.554571000378928,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,8,20260714,31536,26036,33050,4.580937972768533,6.150690000140457,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_FAST,9,20260715,31765,25965,33050,3.8880484114977305,6.028652000168222,1370,684
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,0,20260706,32601,26001,33050,1.3585476550680786,92.72385099939129,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,1,20260707,32531,26031,33050,1.5703479576399397,95.49397699993278,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,2,20260708,32723,26023,33050,0.989409984871407,94.10839200063492,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,3,20260709,32747,26047,33050,0.9167927382753405,95.15136899972276,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,4,20260710,32847,26047,33050,0.6142208774583964,91.43618699999934,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,5,20260711,32473,25973,33050,1.745839636913767,92.00479100036318,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,6,20260712,32842,26042,33050,0.6293494704992436,92.56166300110635,20002,10000
n100_strongly_00,100,strongly,SA,SA_COOL_SLOW,7,20260713,32924,26024,33050,0.3812405446293495,92.7972019999288,20002,10000
